fips,county_name_short,county_name_full,preterm_rate_total,extremely_preterm_rate,very_preterm_rate,moderate_late_preterm_rate,pooled_reference_preterm_rate_total,avg_births,region,regional_prior_preterm,weight_preterm,preterm_rate_smoothed,poverty_rate_overall,poverty_rate_black,poverty_rate_white,poverty_rate_hispanic,poverty_rate_asian,poverty_rate_aian,poverty_rate_nhopi,poverty_rate_two_or_more,low_birth_weight_pct,diabetes_prevalence,cvd_rate
06001,Alameda,Alameda County,0.0863310217934772,0.0041286204582008,0.0079532933980066,0.074327832727549,0.086695134284751,16486.2,region_3,0.08373527651847172,0.9705643404646125,0.0863310217934772,9.2,17.2,7.3,11.2,7.1,8.9,16.2,8.5,5.983452277296301,10.48732369773984,12.064486948255592
06003,Alpine,Alpine County,0.0871270388843226,,,,0.086695134284751,2.6,region_4,0.0871270388843226,0.005173099880620772,0.0871270388843226,10.0,,6.2,21.8,0.0,16.7,,8.9,,11.300000000000002,12.83
06005,Amador,Amador County,0.0871270388843226,,,,0.086695134284751,275.6,region_4,0.0871270388843226,0.35533780299123263,0.0871270388843226,8.2,4.4,8.7,3.8,5.3,16.0,0.0,5.7,4.534775755527662,12.235828425219657,18.143532634932892
06007,Butte,Butte County,0.08076962188828385,0.0038653816420141,0.0076276864402412,0.0694222542905736,0.086695134284751,2211.1,region_1,0.08012530520552873,0.8155730146435026,0.08076962188828385,19.2,46.6,15.9,26.0,31.2,23.6,42.6,21.8,5.147458555564639,11.038696381938063,15.907009556146573
06009,Calaveras,Calaveras County,0.0871270388843226,,,,0.086695134284751,270.2857142857143,region_4,0.0871270388843226,0.3508902077151336,0.0871270388843226,13.0,43.6,11.6,20.0,17.0,22.7,0.0,12.3,4.944944232982207,13.112084846912296,19.087098036671858
06011,Colusa,Colusa County,0.08012530520552873,,,,0.086695134284751,273.6,region_1,0.08012530520552873,0.3536711478800414,0.08012530520552873,11.4,48.7,9.4,10.9,1.9,4.1,0.0,11.9,4.951761735807859,13.246492903930132,21.24919486899563
06013,Contra Costa,Contra Costa County,0.09215432541453253,0.0045965464298576,0.0090035445533294,0.0789373921944007,0.086695134284751,10986.4,region_3,0.08373527651847172,0.9564702604819613,0.09215432541453253,8.4,14.6,6.2,10.7,6.7,12.5,7.8,7.9,5.692074449870986,10.945161509066,13.177015962067344
06015,Del Norte,Del Norte County,0.0789457092444989,,,,0.086695134284751,246.3,region_2,0.0789457092444989,0.33002813881816967,0.0789457092444989,12.9,40.8,12.1,13.5,3.6,14.3,0.0,19.2,3.150392149629247,11.937971741616556,19.53878813590585
06017,El Dorado,El Dorado County,0.07642665328101636,0.002455760202239,0.0065005417118093,0.0657999277717587,0.086695134284751,1107.1,region_1,0.08012530520552873,0.6888805923713521,0.07642665328101636,8.0,27.4,8.1,12.5,3.8,7.8,0.0,6.8,4.814379197810296,10.716022879446909,10.54138880498297
06019,Fresno,Fresno County,0.09731837521190682,0.0069135567553853,0.0091493629538012,0.0812897906111996,0.086695134284751,14608.3,region_6,0.0963152200815082,0.9669056081756385,0.09731837521190682,18.3,25.9,13.7,21.9,15.5,23.4,28.4,19.6,6.109450172363004,12.80047436622489,14.924422346258822
06021,Glenn,Glenn County,0.08012530520552873,,,,0.086695134284751,347.2,region_1,0.08012530520552873,0.40982058545797917,0.08012530520552873,16.0,0.0,14.6,15.2,43.0,11.5,,14.8,4.990066680704709,12.74790131255703,20.608690952481226
